time,packet_type,source,current_node,next_hop,dest,hop_count,routing_direction
741.012892303942,SENSOR_DATA,"[11,2]",53,"[19,5]","[19,5]",,DIRECT
741.0129446133997,SENSOR_DATA,"[19,2]",45,"[8,254]","[1,3]",,TREE
741.0130198182088,SENSOR_DATA,"[19,2]",35,"[1,3]","[1,3]",,DIRECT
741.0139912694835,SENSOR_DATA,"[40,1]",87,"[6,4]","[10,3]",,MESH
741.0140732507496,SENSOR_DATA,"[28,1]",97,"[18,1]","[10,3]",,MESH
741.0141536092256,SENSOR_DATA,"[28,1]",88,"[18,254]","[10,3]",,TREE
741.0142162817191,SENSOR_DATA,"[28,1]",78,"[10,3]","[10,3]",,DIRECT
741.0147826998547,SENSOR_DATA,"[27,2]",91,"[30,2]","[29,1]",,MESH
741.0148792101484,SENSOR_DATA,"[27,2]",72,"[19,4]","[29,1]",,MESH
741.0148970517977,SENSOR_DATA,"[27,3]",81,"[22,3]","[12,1]",,MESH
741.0149458061337,SENSOR_DATA,"[27,3]",82,"[22,1]","[12,1]",,MESH
741.0149667193406,SENSOR_DATA,"[27,2]",62,"[29,1]","[29,1]",,DIRECT
741.0150347162618,SENSOR_DATA,"[27,3]",73,"[12,1]","[12,1]",,DIRECT
741.0155006744916,SENSOR_DATA,"[38,1]",70,"[38,254]","[21,3]",,TREE
742.3518578880224,SENSOR_DATA,"[39,1]",11,"[39,2]","[19,3]",,MESH
742.3521217385678,NETWORK_REQUEST,"[41,2]",1,"[41,254]","[0,254]",,TREE
742.3521566924145,NETWORK_REQUEST,"[41,2]",2,"[39,1]","[0,254]",,TREE
742.352230703508,NETWORK_REQUEST,"[41,2]",11,"[39,254]","[0,254]",,TREE
742.3523424159698,NETWORK_REQUEST,"[41,2]",31,"[26,4]","[0,254]",,TREE
742.3524130931041,NETWORK_REQUEST,"[41,2]",22,"[8,4]","[0,254]",,MESH
742.3525444542748,NETWORK_REQUEST,"[41,2]",24,"[0,3]","[0,254]",,MESH
742.3526515478599,NETWORK_REQUEST,"[41,2]",26,"[0,254]","[0,254]",,DIRECT
742.3527486071979,NETWORK_REPLY,"[0,254]",17,"[0,1]","[41,2]",,TREE
742.3528154864637,NETWORK_REPLY,"[0,254]",16,"[1,1]","[41,2]",,TREE
742.3528904333712,NETWORK_REPLY,"[0,254]",5,"[4,4]","[41,2]",,MESH
742.3529676852086,NETWORK_REPLY,"[0,254]",14,"[26,2]","[41,2]",,MESH
742.3530719880282,NETWORK_REPLY,"[0,254]",12,"[41,2]","[41,2]",,DIRECT
746.2155642422522,SENSOR_DATA,"[8,2]",45,"[8,254]","[1,1]",,TREE
746.2156394470613,SENSOR_DATA,"[8,2]",35,"[0,3]","[1,1]",,MESH
746.2157191577367,SENSOR_DATA,"[8,2]",26,"[0,254]","[1,1]",,TREE
746.2158162170747,SENSOR_DATA,"[8,2]",17,"[1,1]","[1,1]",,DIRECT
747.106607733075,SENSOR_DATA,"[4,4]",14,"[8,4]","[8,1]",,MESH
747.1066831212088,SENSOR_DATA,"[4,4]",24,"[8,1]","[8,1]",,DIRECT
751.0113363205967,SENSOR_DATA,"[8,3]",44,"[8,4]","[4,3]",,MESH
751.0113892580863,SENSOR_DATA,"[8,4]",24,"[0,3]","[6,3]",,MESH
751.0114427963408,SENSOR_DATA,"[8,3]",24,"[8,254]","[4,3]",,TREE
751.0114963516713,SENSOR_DATA,"[8,4]",26,"[43,1]","[6,3]",,TREE
751.0115274781162,SENSOR_DATA,"[8,3]",35,"[8,4]","[4,3]",,MESH
751.0115460516522,SENSOR_DATA,"[8,1]",35,"[8,4]","[8,4]",,DIRECT
751.0115934534894,SENSOR_DATA,"[8,4]",37,"[6,3]","[6,3]",,DIRECT
751.0116121598917,SENSOR_DATA,"[8,3]",24,"[8,254]","[4,3]",,TREE
751.0116968416671,SENSOR_DATA,"[8,3]",35,"[8,4]","[4,3]",,MESH
751.0117815234426,SENSOR_DATA,"[8,3]",24,"[8,254]","[4,3]",,TREE
751.0118034724468,SENSOR_DATA,"[6,4]",67,"[11,2]","[11,1]",,MESH
751.011866205218,SENSOR_DATA,"[8,3]",35,"[8,4]","[4,3]",,MESH
751.0119069119888,SENSOR_DATA,"[6,4]",75,"[11,1]","[11,1]",,DIRECT
751.0119289353845,SENSOR_DATA,"[39,1]",11,"[26,3]","[8,1]",,MESH
751.0119508869934,SENSOR_DATA,"[8,3]",24,"[8,254]","[4,3]",,TREE
751.0120355687689,SENSOR_DATA,"[8,3]",35,"[8,4]","[4,3]",,MESH
751.0120588978396,SENSOR_DATA,"[39,1]",32,"[8,4]","[8,1]",,MESH
751.0121202505443,SENSOR_DATA,"[8,3]",24,"[8,254]","[4,3]",,TREE
751.012197702459,SENSOR_DATA,"[39,1]",24,"[8,1]","[8,1]",,DIRECT
751.0122049323197,SENSOR_DATA,"[8,3]",35,"[8,4]","[4,3]",,MESH
751.0122896140952,SENSOR_DATA,"[8,3]",24,"[8,254]","[4,3]",,TREE
751.0123742958706,SENSOR_DATA,"[8,3]",35,"[8,4]","[4,3]",,MESH
751.0123852775181,SENSOR_DATA,"[11,1]",65,"[15,1]","[7,1]",,MESH
751.012458977646,SENSOR_DATA,"[8,3]",24,"[8,254]","[4,3]",,TREE
751.0124628036731,SENSOR_DATA,"[11,1]",56,"[6,3]","[7,1]",,MESH
751.0125276845248,SENSOR_DATA,"[11,1]",57,"[7,1]","[7,1]",,DIRECT
751.0125436594215,SENSOR_DATA,"[8,3]",35,"[8,4]","[4,3]",,MESH
751.0126283411969,SENSOR_DATA,"[8,3]",24,"[8,254]","[4,3]",,TREE
751.01264554504,SENSOR_DATA,"[7,3]",79,"[7,1]","[10,1]",,MESH
