time,node_id,old_role,new_role
281.0129010876287,52,UNREGISTERED,REGISTERED
281.01294305085315,74,UNREGISTERED,REGISTERED
281.0130080283768,83,UNDISCOVERED,UNREGISTERED
281.01303366355944,93,UNDISCOVERED,UNREGISTERED
281.01313865564083,74,REGISTERED,CLUSTER_HEAD
281.01323645803467,64,CLUSTER_HEAD,ROUTER
281.0137338215293,63,REGISTERED,CLUSTER_HEAD
281.0137906952153,73,UNREGISTERED,REGISTERED
281.01390444258726,73,REGISTERED,CLUSTER_HEAD
281.01396131627325,63,CLUSTER_HEAD,ROUTER
281.0151483016468,84,UNREGISTERED,REGISTERED
297.106607733075,14,UNREGISTERED,REGISTERED
297.1067454555443,2,UNDISCOVERED,UNREGISTERED
301.0118034724468,67,UNREGISTERED,REGISTERED
301.01314522296,83,UNREGISTERED,REGISTERED
301.013214888972,93,UNREGISTERED,REGISTERED
301.01323059669977,92,UNDISCOVERED,UNREGISTERED
321.01192102287354,34,REGISTERED,CLUSTER_HEAD
321.01206678468253,13,REGISTERED,CLUSTER_HEAD
321.0121346017648,23,UNREGISTERED,REGISTERED
321.01213573146055,12,UNREGISTERED,REGISTERED
321.0122724953208,23,REGISTERED,CLUSTER_HEAD
321.01234031240307,13,CLUSTER_HEAD,ROUTER
321.01452885077174,93,REGISTERED,CLUSTER_HEAD
321.0146012120909,92,UNREGISTERED,REGISTERED
321.01466170801217,91,UNDISCOVERED,UNREGISTERED
321.0146998253265,81,UNDISCOVERED,UNREGISTERED
321.0147459347292,92,REGISTERED,CLUSTER_HEAD
321.01481829604836,93,CLUSTER_HEAD,ROUTER
322.35172601531815,11,UNDISCOVERED,UNREGISTERED
322.35173144843856,1,UNDISCOVERED,UNREGISTERED
322.35174894222837,21,UNDISCOVERED,UNREGISTERED
341.0115611158105,43,UNREGISTERED,REGISTERED
341.0117103140079,32,UNREGISTERED,REGISTERED
341.01270889539575,85,REGISTERED,UNREGISTERED
341.0139928922736,88,REGISTERED,CLUSTER_HEAD
341.0140732507496,97,UNREGISTERED,REGISTERED
341.0142339677016,97,REGISTERED,CLUSTER_HEAD
341.0143143261776,88,CLUSTER_HEAD,ROUTER
341.0147826998547,91,UNREGISTERED,REGISTERED
341.01484265267146,90,UNDISCOVERED,UNREGISTERED
341.0148970517977,81,UNREGISTERED,REGISTERED
381.012104709269,76,UNREGISTERED,REGISTERED
381.0133747599972,82,UNREGISTERED,REGISTERED
381.01400338915045,52,REGISTERED,CLUSTER_HEAD
381.0141677532931,61,REGISTERED,CLUSTER_HEAD
381.01423569765564,71,UNREGISTERED,REGISTERED
381.01424546641056,60,UNREGISTERED,REGISTERED
381.01425485781226,50,UNREGISTERED,REGISTERED
381.0142604652089,72,UNREGISTERED,REGISTERED
381.01442906685054,50,REGISTERED,CLUSTER_HEAD
381.0151472261021,96,UNREGISTERED,REGISTERED
