time,packet_type,source,current_node,next_hop,dest,hop_count,routing_direction
719.3838116728872,SENSOR_DATA,"[0,2]",47,"[6,4]","[6,4]",,DIRECT
720.4306883434211,SENSOR_DATA,"[10,2]",67,"[10,254]","[18,2]",,TREE
720.4307105682891,SENSOR_DATA,"[13,2]",66,"[17,2]","[29,1]",,MESH
720.4307567363626,SENSOR_DATA,"[10,2]",58,"[6,3]","[18,2]",,TREE
720.4308102187501,SENSOR_DATA,"[13,2]",77,"[23,1]","[29,1]",,MESH
720.4308200908399,SENSOR_DATA,"[10,2]",57,"[6,254]","[18,2]",,TREE
720.4308921861661,SENSOR_DATA,"[13,2]",78,"[29,1]","[29,1]",,DIRECT
720.4308944696191,SENSOR_DATA,"[10,2]",46,"[6,5]","[18,2]",,TREE
720.4309701025161,SENSOR_DATA,"[10,2]",56,"[18,1]","[18,2]",,TREE
720.4310309130725,SENSOR_DATA,"[10,2]",65,"[18,2]","[18,2]",,DIRECT
720.6281136317738,SENSOR_DATA,"[3,4]",5,"[3,2]","[1,2]",,MESH
720.6282007945904,SENSOR_DATA,"[3,4]",16,"[0,3]","[1,2]",,MESH
720.6282782868327,SENSOR_DATA,"[3,4]",27,"[0,254]","[1,2]",,TREE
720.6283587692483,SENSOR_DATA,"[3,4]",28,"[0,254]","[1,2]",,UNKNOWN
720.8837813956688,SENSOR_DATA,"[21,5]",31,"[20,4]","[20,4]",,DIRECT
720.8856537634966,NETWORK_REQUEST,"[39,3]",70,"[39,254]","[0,254]",,TREE
720.8857085153093,NETWORK_REQUEST,"[39,3]",71,"[43,254]","[0,254]",,TREE
720.8857693465229,NETWORK_REQUEST,"[39,3]",61,"[24,5]","[0,254]",,TREE
720.8858279441239,NETWORK_REQUEST,"[39,3]",51,"[24,254]","[0,254]",,TREE
720.8858860003476,NETWORK_REQUEST,"[39,3]",52,"[33,254]","[0,254]",,TREE
720.8859740837999,NETWORK_REQUEST,"[39,3]",63,"[30,254]","[0,254]",,TREE
720.886072628038,NETWORK_REQUEST,"[39,3]",74,"[18,254]","[0,254]",,TREE
720.8861721222354,NETWORK_REQUEST,"[39,3]",65,"[6,5]","[0,254]",,MESH
720.8862329327918,NETWORK_REQUEST,"[39,3]",56,"[0,8]","[0,254]",,MESH
720.8863609109096,NETWORK_REQUEST,"[39,3]",37,"[0,254]","[0,254]",,DIRECT
720.8864603711435,NETWORK_REPLY,"[0,254]",28,UNKNOWN,"[39,3]",,UNKNOWN
721.4691730991617,SENSOR_DATA,"[11,5]",34,"[11,254]","[11,2]",,TREE
721.4692320847854,SENSOR_DATA,"[11,5]",44,"[11,2]","[11,2]",,DIRECT
722.1497447951818,SENSOR_DATA,"[40,1]",4,"[3,4]","[3,4]",,DIRECT
724.9119135118085,SENSOR_DATA,"[6,2]",35,"[6,254]","[16,3]",,TREE
724.9119847881149,SENSOR_DATA,"[6,2]",46,"[6,5]","[16,3]",,MESH
724.9120604210118,SENSOR_DATA,"[6,2]",56,"[6,254]","[16,3]",,TREE
724.9121360539087,SENSOR_DATA,"[6,2]",46,"[6,5]","[16,3]",,MESH
724.9122116868057,SENSOR_DATA,"[6,2]",56,"[6,254]","[16,3]",,TREE
724.9122873197026,SENSOR_DATA,"[6,2]",46,"[6,5]","[16,3]",,MESH
724.9123629525996,SENSOR_DATA,"[6,2]",56,"[6,254]","[16,3]",,TREE
724.9124385854965,SENSOR_DATA,"[6,2]",46,"[6,5]","[16,3]",,MESH
724.9125142183934,SENSOR_DATA,"[6,2]",56,"[6,254]","[16,3]",,TREE
724.9125898512904,SENSOR_DATA,"[6,2]",46,"[6,5]","[16,3]",,MESH
724.9126654841873,SENSOR_DATA,"[6,2]",56,"[6,254]","[16,3]",,TREE
724.9127411170842,SENSOR_DATA,"[6,2]",46,"[6,5]","[16,3]",,MESH
724.9128167499812,SENSOR_DATA,"[6,2]",56,"[6,254]","[16,3]",,TREE
724.9128923828781,SENSOR_DATA,"[6,2]",46,"[6,5]","[16,3]",,MESH
724.912968015775,SENSOR_DATA,"[6,2]",56,"[6,254]","[16,3]",,TREE
724.913043648672,SENSOR_DATA,"[6,2]",46,"[6,5]","[16,3]",,MESH
724.9131192815689,SENSOR_DATA,"[6,2]",56,"[6,254]","[16,3]",,TREE
724.9131949144659,SENSOR_DATA,"[6,2]",46,"[6,5]","[16,3]",,MESH
724.9132705473628,SENSOR_DATA,"[6,2]",56,"[6,254]","[16,3]",,TREE
724.9133461802597,SENSOR_DATA,"[6,2]",46,"[6,5]","[16,3]",,MESH
724.9134218131567,SENSOR_DATA,"[6,2]",56,"[6,254]","[16,3]",,TREE
724.9134974460536,SENSOR_DATA,"[6,2]",46,"[6,5]","[16,3]",,MESH
